key,en,vi
auth.desc_switch_account_screen,Enter the email of the account you want to switch to. Current data will be automatically backed up.,Nhập email của tài khoản muốn chuyển đến. Dữ liệu hiện tại sẽ được tự động sao lưu.
auth.msg_sync_complete,Synchronization complete! Your account is now linked.,Đồng bộ hoàn tất! Tài khoản đã được liên kết.
auth.msg_sync_gamification,Processing Leaderboard & Records data...,Đang xử lý dữ liệu Xếp hạng & Kỷ lục...
auth.msg_sync_result_err,A connection error occurred during synchronization.,Có lỗi kết nối xảy ra trong quá trình đồng bộ.
auth.msg_sync_result_merged,Data on the server and device have been successfully merged!,Đã hợp nhất dữ liệu trên máy chủ và thiết bị!
auth.msg_sync_result_new_user,Current data has been safely backed up to the server!,Đã sao lưu dữ liệu hiện tại lên máy chủ an toàn!
auth.msg_sync_result_old_user,Successfully restored all your previous data!,Đã khôi phục toàn bộ dữ liệu cũ của bạn thành công!
auth.msg_sync_workout,Synchronizing workout data...,Đang đồng bộ dữ liệu tập luyện...
auth.msg_syncing_to_cloud,Synchronizing data to the cloud...,Đang đồng bộ dữ liệu lên đám mây...
auth.err_target_account_not_found,Target account does not exist.,Tài khoản đích không tồn tại.
auth.msg_unlink_success,Account successfully unlinked.,Đã ngắt liên kết tài khoản thành công.
auth.msg_verify_err,The verification code is incorrect or has expired!,Mã xác nhận không đúng hoặc đã hết hiệu lực!
auth.title_verify_otp,Enter Verification Code,Nhập mã xác nhận
auth.msg_verify_success,Verification successful. Loading profile...,Xác thực thành công. Đang tải hồ sơ...
auth.msg_verifying,Verifying...,Đang xác thực...
calendar.lbl_choose_days,Choose days of the week:,Chọn ngày trong tuần:
calendar.title_color,Display Color,Màu hiển thị
calendar.title_config_recurrence,Recurrence Config,Cấu hình chu kì
calendar.btn_confirm,Schedule,Tạo lịch
calendar.title_day_dtl,Daily Schedule,Lịch trình ngày
calendar.title_delete,Delete Workout,Xóa lịch tập
calendar.opt_delete_all,Delete entire series,Xóa toàn bộ chuỗi
calendar.msg_delete_confirm,Are you sure you want to delete this routine?,Bạn có chắc chắn muốn xóa lịch tập này không?
calendar.opt_delete_one,Delete this event only,Chỉ xóa ngày này
calendar.msg_delete_recurring,This workout is part of a recurring series. How would you like to delete?,Lịch tập này thuộc một chuỗi lặp lại. Bạn muốn xóa như thế nào?
calendar.msg_empty,You have no scheduled workouts,Bạn chưa có lịch trình nào
calendar.lbl_frequency,Repeat Frequency,Tần suất lặp lại
calendar.global_max_days,Longest consecutive days: {days} days,Chuỗi ngày tập liên tiếp dài nhất: {days} ngày
calendar.global_max_weeks,Longest consecutive weeks: {weeks} weeks,Chuỗi tuần tập liên tiếp dài nhất: {weeks} tuần
calendar.global_workouts,Total Workouts: {count} sessions,Tổng số buổi tập: {count} buổi
calendar.lbl_infinite,Infinite (Default),Vĩnh viễn (mặc định)
calendar.lbl_interval_days,Every how many days?,Cách mấy ngày tập 1 lần?
calendar.max_days,{days} days,{days} ngày
calendar.max_weeks,{weeks} weeks,{weeks} tuần
calendar.max_workouts,{count} sessions,{count} buổi tập
calendar.msg_no_routines,You haven't created any routines yet.,Bạn chưa tạo Routine nào.
calendar.lbl_occurrences,Total occurrences,Tổng số lần áp dụng
calendar.title_planned,Planned:,Dự kiến:
calendar.repeat_daily,Daily,Hàng ngày
calendar.repeat_interval,Every X days,Cách X ngày tập 1 lần
calendar.repeat_none,"Once, today only",Chỉ một lần hôm nay
calendar.repeat_weekly,Weekly on specific days,Hàng tuần vào ngày cụ thể
calendar.btn_schedule,Schedule,Lên lịch
calendar.title_schedule_success,Schedule Created Successfully!,Tạo lịch thành công!
calendar.msg_schedule_success,The new routine schedule has been added to your calendar.,Lịch tập mới đã được thêm vào lịch của bạn.
calendar.section_upcoming,Planned Routines,Kế hoạch
calendar.select_day_prompt,Select a day to view details,Chọn một ngày để xem chi tiết
calendar.title_select_routine,Select Routine,Chọn buổi tập
calendar.msg_success,Successfully scheduled!,Đã lên lịch thành công!
calendar.suffix_days,days,ngày
calendar.suffix_times,times,lần
calendar.lbl_upcoming,Upcoming Workout,Lịch sắp tới
calendar.view_month,Month,Tháng
calendar.view_multi_year,Multi-Year,Nhiều Năm
calendar.view_year,Year,Năm
common.about_us,About Us,Về chúng tôi
common.accept,Allow,Cho phép
common.add,Add,Thêm
common.agree,Agree,Đồng ý
common.back,Back,Quay lại
common.cancel,Cancel,Hủy
common.close,Close,Đóng
common.confirm,Confirm,Xác nhận
common.create,Create,Tạo
common.day_mon,Mon,T2
common.day_tue,Tue,T3
common.day_wed,Wed,T4
common.day_thu,Thu,T5
common.day_fri,Fri,T6
common.day_sat,Sat,T7
common.day_sun,Sun,CN
common.decline,Decline,Từ chối
common.delete,Delete,Xóa
common.delete_all,Delete All,Xóa hết
common.title_delete_dialog_main,Permanently delete this workout?,Xóa vĩnh viễn buổi tập này?
common.msg_delete_dialog_warn,"Once confirmed, all data for this workout cannot be recovered.","Sau khi xác nhận, toàn bộ dữ liệu của buổi tập này không thể khôi phục lại."
common.distance,Distance,Quãng đường
common.done,Done,Xong
common.duration,Duration,Thời lượng
common.edit,Edit,Chỉnh sửa
common.male,Male,Nam
common.female,Female,Nữ
common.other,Other,Khác
common.info,Details,Thông tin chi tiết
common.logout,Logout,Đăng xuất
common.next,Next,Tiếp theo
common.none,None,Không có
common.open_settings,Open Settings,Mở Cài đặt
common.reps,Reps,Lần lặp
common.rest,Rest,Nghỉ ngơi
common.save,Save,Lưu
common.save_anyway,Save anyway,Vẫn lưu
common.set,Set,Hiệp
common.sets,Sets,Số hiệp
common.skip,Skip,Bỏ qua
common.start,Start,Bắt đầu
common.steps,Steps,Bước
common.time,Time,Thời gian
common.time_0m,0m,0m
common.time_days_hours_minutes,{days} days {hours} hours {minutes} minutes,{days} ngày {hours} giờ {minutes} phút
common.time_h_m,{h}h {m}m,{h}h {m}m
common.time_h_m_s,{h}h {m}m {s}s,{h}h {m}m {s}s
common.time_hours_minutes,{hours} hours {minutes} minutes,{hours} giờ {minutes} phút
common.time_m,{m}m,{m}m
common.time_m_s,{m}m {s}s,{m}m {s}s
common.time_s,{s}s,{s}s
common.tutorial_title,Tutorial,Hướng dẫn sử dụng
common.understood,Understood,Đã hiểu
common.unit_cm,cm,cm
common.unit_kcal,kcal,kcal
common.unit_kg,kg,kg
common.unit_km,km,km
common.unit_lbs,lbs,lbs
common.video_err,Failed to load tutorial video,Không thể tải video hướng dẫn
common.volume,Volume,Tải trọng
common.weight,Weight,Trọng lượng
equipment.band,Resistance Band,Dây kháng lực
equipment.barbell,Barbell,Tạ đòn
equipment.bodyweight,Bodyweight,Không dụng cụ
equipment.cable,Cable,Dây cáp
equipment.dumbbell,Dumbbell,Tạ đơn
equipment.kettlebell,Kettlebell,Tạ chuông
equipment.machine,Machine,Máy tập
equipment.rope,Jumping Rope,Dây nhảy
exercises.name_arnold_press,Arnold Press,Đẩy vai Arnold
exercises.desc_arnold_press,"1. Hold dumbbells at shoulder height with palms facing you.
2. Exhale and press the dumbbells overhead. While pressing, smoothly rotate your wrists so your palms face forward at the top.
3. Inhale, lower the dumbbells, and reverse the rotation back to the starting position.","1. Cầm tạ đơn ở ngang vai, lòng bàn tay hướng vào mặt.
2. Thở ra và bắt đầu đẩy tạ lên cao qua đầu. Đồng thời từ từ xoay cổ tay sao cho khi tạ lên đỉnh, lòng bàn tay hướng về phía trước.
3. Hít vào, từ từ hạ tạ xuống và xoay ngược cổ tay trở lại vị trí ban đầu."
exercises.name_australian_pull_up,Australian Pull-Up,Kéo xà ngang
exercises.desc_australian_pull_up,"1. Grip a low bar and position your body in a straight line from heels to head (like a reverse plank).
2. Exhale, pull your shoulder blades back, and row your chest up to touch the bar.
3. Squeeze at the top for 1 second, then inhale and slowly lower yourself until arms are fully extended.","1. Gồng chặt cơ mông và bụng để cơ thể tạo thành đường thẳng (như Plank ngửa) dưới thanh xà thấp.
2. Thở ra, kéo bả vai ra sau và gập khuỷu tay để kéo ngực chạm vào thanh xà.
3. Giữ đỉnh 1 giây, sau đó hít vào và từ từ hạ thân người xuống thẳng tay."
exercises.name_barbell_curl,Barbell Bicep Curl,Cuốn tạ đòn tay trước
exercises.desc_barbell_curl,"1. Keep your back straight, chest up, and elbows pinned to your sides.
2. Exhale, squeeze your biceps, and curl the barbell in an arc toward your chest/chin.
3. Inhale and slowly lower the bar back to the starting position to fully stretch the biceps.","1. Giữ lưng thẳng, ngực hơi ưỡn và ép khuỷu tay sát thân người.
2. Thở ra, siết cơ bắp tay và cuốn tạ đòn lên theo đường vòng cung về phía ngực/cằm.
3. Hít vào và từ từ hạ thanh tạ đòn xuống vị trí ban đầu với tốc độ chậm để giãn cơ."
exercises.name_barbell_row,Barbell Row,Gập người kéo tạ đòn
exercises.desc_barbell_row,"1. Bend over while keeping your back naturally straight. Brace your core and look slightly down.
2. Exhale, retract your shoulder blades, and pull the bar toward your belly button.
3. Keep your elbows relatively close to your body. Squeeze at the top.
4. Inhale and lower the bar slowly until your arms are fully extended.","1. Cúi người, giữ lưng thẳng tự nhiên, gồng cơ core và mắt nhìn chếch xuống sàn.
2. Thở ra, siết cơ lưng và kéo thanh tạ hướng thẳng về phía bụng dưới (hoặc rốn).
3. Giữ hai cùi chỏ sát thân. Ở đỉnh chuyển động, kẹp chặt hai bả vai lại.
4. Hít vào và hạ tạ xuống từ từ cho đến khi duỗi thẳng tay."
exercises.name_barbell_squat,Barbell Squat,Squat tạ đòn
exercises.desc_barbell_squat,"1. Rest the bar on your upper back. Take a deep breath into your belly to create intra-abdominal pressure (bracing).
2. Push your hips back and bend your knees to squat down. Go as deep as your mobility allows while keeping a straight spine.
3. Drive hard through the floor, exhale forcefully, and stand back up.","1. Đặt thanh tạ lên phần cơ cầu vai/lưng trên. Hít sâu xuống bụng (bracing) và gồng cứng cơ core.
2. Đẩy hông ra sau và gập gối hạ người xuống có kiểm soát. Hạ sâu hết biên độ linh hoạt mà vẫn giữ lưng thẳng.
3. Đạp mạnh sàn, thở ra dứt khoát và đẩy tạ đi thẳng lên đứng thẳng người."
exercises.name_bench_dips,Bench Dips,Chống đẩy ngược trên ghế
exercises.desc_bench_dips,"1. Place your hands on the edge of a bench and slide your hips off. Keep your arms straight.
2. Inhale and slowly bend your elbows to lower your body until your upper arms are parallel to the floor.
3. Exhale and push through your palms using your triceps to return to the start.","1. Tựa hai tay lên mép ghế, trượt mông ra ngoài. Duỗi thẳng tay để giữ trọng lượng.
2. Hít vào, từ từ gập khuỷu tay hạ cơ thể xuống cho đến khi cánh tay trên song song với sàn.
3. Thở ra, dồn lực vào lòng bàn tay dùng cơ tay sau đẩy người lên vị trí ban đầu."
exercises.name_bench_press,Barbell Bench Press,Đẩy ngực tạ đòn
exercises.desc_bench_press,"1. Unrack the barbell and hold it directly over your mid-chest.
2. Inhale and lower the bar under control until it lightly touches your mid-chest. Do not bounce the bar.
3. Pause briefly, then exhale, drive your feet into the floor, and press the bar back up in a slight arc toward your head.","1. Nhấc thanh tạ ra khỏi giá đỡ và giữ ngay trên vùng giữa ngực.
2. Hít vào, kiểm soát và từ từ hạ tạ xuống cho đến khi chạm nhẹ vào giữa ngực. Không thả tạ rơi tự do.
3. Dừng lại một tíc tắc, sau đó thở ra, đạp mạnh chân xuống sàn và đẩy tạ lên cao theo quỹ đạo hơi chéo về phía đầu."
exercises.name_bicycle_crunches,Bicycle Crunches,Gập bụng đạp xe
exercises.desc_bicycle_crunches,"1. Lie flat with hands behind your head and legs elevated.
2. Exhale, extend your right leg out straight, and twist your torso to bring your right elbow toward your left knee.
3. Inhale through the center, then exhale and switch sides in a continuous pedaling motion.","1. Nằm ngửa, hai tay đặt sau đầu. Nâng hai chân lên khỏi sàn.
2. Thở ra, duỗi thẳng chân phải đồng thời vặn thân trên sang trái, đưa khuỷu tay phải hướng về đầu gối trái.
3. Hít vào khi qua tâm, thở ra và thực hiện đổi bên luân phiên liên tục như đang đạp xe."
exercises.name_bulgarian_split_squat,Bulgarian Split Squat,Squat một chân
exercises.desc_bulgarian_split_squat,"1. Rest your rear foot on a bench. Keep your torso upright.
2. Inhale and slowly drop your hips by bending both knees until your front thigh is parallel to the floor (rear knee almost touching the ground).
3. Exhale and drive through your front heel to push back up.","1. Đặt mu bàn chân sau lên ghế. Giữ lưng thẳng, ngực ưỡn.
2. Hít vào, từ từ gập gối hạ thấp hông xuống cho đến khi đùi trước song song với sàn (đầu gối sau gần chạm sàn).
3. Thở ra, dồn lực vào gót chân trước đẩy người thẳng lên."
exercises.name_burpees,Burpees,Nhảy Burpees
exercises.desc_burpees,"1. Drop into a squat position and place your hands on the floor.
2. Jump both feet back into a high plank position.
3. Perform one push-up (optional).
4. Jump your feet back into the squat, then explosively jump vertically with your hands reaching overhead.","1. Hạ người thành tư thế ngồi xổm, hai tay chống xuống sàn.
2. Bật nhảy đưa hai chân ra sau vào tư thế Plank cao.
3. Thực hiện một nhịp hít đất (tùy chọn theo thể lực).
4. Bật nhảy thu chân về tư thế ngồi xổm, lập tức bật nhảy cao lên không trung và vung tay qua đầu."
exercises.name_cable_crossover,Cable Crossover,Ép ngực chéo với cáp
exercises.desc_cable_crossover,"1. Stand between high pulleys. Open your arms with a slight, locked bend in your elbows.
2. Exhale and pull the handles together, crossing them over each other in front of your chest.
3. Squeeze your chest hard for 1 second, then inhale and slowly open your arms.","1. Đứng giữa máy cáp cao. Mở rộng vòng tay, cùi chỏ cong nhẹ cố định.
2. Thở ra, kéo ép hai tay bắt chéo qua nhau ở phía trước ngực.
3. Ép chặt cơ ngực 1 giây, hít vào từ từ mở rộng cánh tay."
exercises.name_cable_crunch,Cable Crunch,Gập bụng với cáp
exercises.desc_cable_crunch,"1. Kneel facing the cable machine, holding the rope attachment behind your neck. Keep your hips locked.
2. Exhale and crunch downward by flexing your spine, driving your elbows toward your thighs.
3. Squeeze your abs for 1 second at the bottom.
4. Inhale and slowly release the weight back up.","1. Quỳ gối đối diện máy cáp, cầm dây thừng sau gáy. Cố định hoàn toàn hông và đùi.
2. Thở ra, cuộn tròn cột sống để gập người xuống, hướng khuỷu tay về phía đùi.
3. Siết chặt cơ bụng ở điểm sâu nhất trong 1 giây.
4. Hít vào và từ từ nhả cáp về vị trí ban đầu."
exercises.name_cable_kickback,Cable Glute Kickback,Đá mông với cáp
exercises.desc_cable_kickback,"1. Attach the ankle strap and hold onto the machine for balance. Brace your core.
2. Exhale and squeeze your glutes to kick the working leg back and up in an arc.
3. Hold the peak contraction for 1 second.
4. Inhale and control the weight as you bring your leg back.","1. Gắn cáp vào cổ chân. Đứng trụ vững, gồng cơ core.
2. Thở ra, siết cơ mông đá chân ra sau và lên cao theo quỹ đạo vòng cung.
3. Giữ 1 giây khi cơ mông cuộn lại tối đa.
4. Hít vào, từ từ kiểm soát cáp để đưa chân về."
exercises.name_cable_lateral_raise,Cable Lateral Raise,Dang vai với cáp
exercises.desc_cable_lateral_raise,"1. Stand next to a low pulley and grab the D-handle with your outside hand.
2. With a slight bend in your elbow, exhale and raise your arm out to the side until it's parallel to the floor.
3. Hold for a brief second, then inhale and lower slowly.","1. Đứng cạnh máy cáp, dùng tay phía ngoài nắm lấy tay cầm ở ròng rọc thấp.
2. Hơi gập khuỷu tay. Thở ra, nâng tay sang ngang cho đến khi cánh tay song song với sàn.
3. Giữ lại 1 nhịp ở đỉnh, sau đó hít vào và từ từ hạ xuống có kiểm soát."
exercises.name_chest_dips,Chest Dips,Xà kép ép ngực
exercises.desc_chest_dips,"1. On parallel bars, lean your torso forward about 30 degrees to target the chest.
2. Inhale and lower your body until your shoulders drop below your elbows (feel the stretch in your lower chest).
3. Exhale and push through your palms to return to the top.","1. Trên xà kép, đổ người ngả về phía trước khoảng 30 độ để nhắm vào cơ ngực.
2. Hít vào, hạ cơ thể cho đến khi vai thấp hơn khuỷu tay (cảm nhận ngực dưới bị kéo căng).
3. Thở ra, dồn lực lòng bàn tay siết ngực đẩy người lên."
exercises.name_chest_supported_row,Chest-Supported Row,Nằm ghế dốc kéo lưng
exercises.desc_chest_supported_row,"1. Lie face down on a 45-degree incline bench with your chest supported. Let dumbbells hang straight down.
2. Exhale, pull your elbows up to the ceiling, and squeeze your shoulder blades.
3. Inhale and slowly lower the dumbbells to stretch your back.","1. Nằm sấp ngực tựa chắc lên ghế dốc 45 độ. Hai tay buông thõng cầm tạ đơn.
2. Thở ra, kéo cùi chỏ lên trần nhà ép chặt hai bả vai.
3. Hít vào từ từ hạ tạ để giãn cơ lưng."
exercises.name_chin_up,Chin-Up,Hít xà đơn
exercises.desc_chin_up,"1. Grab the bar with an underhand (supinated) grip. Hang with arms fully extended.
2. Exhale, engage your lats and biceps, and pull your body up until your chin clears the bar.
3. Inhale and lower yourself under control back to a dead hang.","1. Nắm thanh xà với lòng bàn tay hướng về phía người. Treo người duỗi thẳng tay.
2. Thở ra, siết lưng xô và bắp tay kéo người lên cho đến khi cằm vượt qua xà.
3. Ép chặt hai bả vai. Hít vào và từ từ hạ thân người xuống hết cỡ (dead hang)."
exercises.name_close_grip_pulldown,Close-Grip Lat Pulldown,Kéo xô hẹp tay
exercises.desc_close_grip_pulldown,"1. Grab the V-bar attachment and slightly puff your chest out.
2. Exhale and pull the bar down toward your mid-chest. Keep your elbows tucked close to your sides.
3. Squeeze your lats at the bottom, then inhale and slowly let the bar back up to get a deep stretch.","1. Cầm tay cầm V-bar, ngực ưỡn nhẹ.
2. Thở ra, kéo V-bar hướng xuống phần ngực giữa. Giữ cùi chỏ ép sát vào sườn.
3. Ép bả vai ở điểm thấp nhất. Hít vào và nhả tạ lên từ từ để kéo giãn cơ xô."
exercises.name_crunch,Crunch,Gập bụng cơ bản
exercises.desc_crunch,"1. Lie on your back with knees bent. Inhale and engage your core.
2. Slowly curl your head, neck, and upper back off the floor. Keep your lower back pressed into the mat.
3. Hold the contraction for 1 second and exhale sharply. Inhale as you lower back down.","1. Nằm ngửa, gập gối. Hít sâu, siết cơ bụng.
2. Từ từ cuộn người, nâng đầu và vai rời khỏi sàn. Lưng dưới (thắt lưng) vẫn ép chặt xuống thảm.
3. Giữ 1 giây, thở ra dứt khoát. Hít vào và hạ người xuống từ từ."
exercises.name_crunch_machine,Machine Crunch,Gập bụng với máy
exercises.desc_crunch_machine,"1. Lock yourself into the ab crunch machine. Inhale deeply.
2. Exhale and crunch your torso forward, contracting your abs hard.
3. Hold the bottom position for 1 second, then inhale and slowly return to an upright position.","1. Ngồi cố định vào máy gập bụng. Hít sâu.
2. Thở ra, cuộn thân trên gập người về trước, co thắt mạnh cơ bụng.
3. Giữ nguyên 1 giây ở điểm sâu nhất, hít vào nhả máy từ từ."
exercises.name_deadlift,Barbell Deadlift,Deadlift tạ đòn
exercises.desc_deadlift,"1. Stand with shins close to the bar. Hinge down, grip the bar, puff your chest out, and engage your lats.
2. Take a deep breath (brace). Drive your legs into the floor and pull your torso up simultaneously.
3. Keep the bar dragging up your shins and thighs. Lock out your hips and squeeze your glutes at the top. Exhale.
4. Hinge your hips back first to lower the bar to the floor.","1. Đứng cẳng chân sát thanh đòn. Gập hông cúi xuống, cầm tạ, ưỡn ngực kéo căng cơ xô.
2. Hít sâu vào bụng. Đạp mạnh chân xuống sàn và đồng thời kéo thân đứng thẳng lên.
3. Giữ thanh tạ trượt sát đùi. Siết mông ở đỉnh, thở ra.
4. Đẩy hông ra sau để hạ tạ xuống đất có kiểm soát."
exercises.name_decline_bench_press,Decline Barbell Bench Press,Đẩy ngực dưới tạ đòn
exercises.desc_decline_bench_press,"1. Lie on a decline bench. Unrack the bar and hold it straight over your lower chest.
2. Inhale and slowly lower the bar until it lightly touches your lower chest.
3. Exhale and press the bar back up to the starting position.","1. Nằm trên ghế dốc xuống. Hít sâu, nhấc tạ ra khỏi giá nằm trên vùng ngực dưới.
2. Hít vào, hạ tạ có kiểm soát chạm nhẹ vào ngực dưới.
3. Thở ra, dùng lực ngực đẩy tạ lên thẳng vị trí ban đầu."
exercises.name_decline_push_up,Decline Push-Up,Hít đất dốc xuống
exercises.desc_decline_push_up,"1. Place your feet on an elevated box or bench so your body forms a downward slope.
2. Inhale and lower your chest toward the floor, keeping your elbows tucked at a 45-degree angle.
3. Exhale and push back up to fully extended arms.","1. Đặt hai chân lên bục/ghế cao. Cơ thể tạo đường thẳng dốc xuống.
2. Hít vào, hạ ngực gần chạm sàn. Khuỷu tay gập góc khoảng 45 độ so với thân.
3. Thở ra, dùng lực ngực trên đẩy người lên thẳng tay."
exercises.name_diamond_push_up,Diamond Push-Up,Hít đất kim cương
exercises.desc_diamond_push_up,"1. Form a diamond shape with your thumbs and index fingers placed directly under your chest.
2. Inhale, lower your body until your chest nearly touches your hands. Keep your elbows tucked tight to your ribs.
3. Exhale and forcefully push back up using your triceps.","1. Chống tay tạo hình kim cương (ngón cái và trỏ chạm nhau) ở ngay dưới ngực.
2. Hít vào, hạ thân người xuống sát mu bàn tay, cùi chỏ ép sát sườn.
3. Thở ra, siết cơ tay sau đẩy người lên thẳng."
exercises.name_dumbbell_bench_press,Dumbbell Bench Press,Đẩy ngực tạ đơn
exercises.desc_dumbbell_bench_press,"1. Lie flat on a bench, pressing dumbbells straight up over your chest.
2. Inhale and lower the dumbbells to the sides of your chest. Flare your elbows out at roughly a 45 to 60-degree angle.
3. Get a deep stretch, then exhale and press the weights back up.","1. Nằm ghế bằng, đẩy hai quả tạ thẳng lên trên ngực.
2. Hít vào, hạ tạ xuống hai bên. Cùi chỏ mở góc khoảng 45-60 độ so với thân người.
3. Hạ đến khi ngực căng tối đa. Thở ra, siết ngực đẩy tạ vút lên trên."
exercises.name_dumbbell_curl,Dumbbell Curl,Cuốn tạ đơn tay trước
exercises.desc_dumbbell_curl,"1. Keep your upper arms locked in place against your sides.
2. Exhale and curl the dumbbells up toward your shoulders.
3. Squeeze your biceps hard at the top, then inhale and lower under control.","1. Giữ cố định bắp tay (phần từ vai đến khuỷu tay) sát thân người.
2. Thở ra, cuốn tạ lên về phía vai, xoay ngửa cổ tay.
3. Siết bắp tay 1 giây ở đỉnh, hít vào hạ tạ có kiểm soát."
exercises.name_dumbbell_deadlift,Dumbbell Deadlift,Deadlift tạ đơn
exercises.desc_dumbbell_deadlift,"1. Hold dumbbells by your sides. Inhale, brace your core, hinge your hips back, and bend your knees to lower the weights.
2. Drive your feet into the ground to pull the weights back up.
3. Lock your hips and squeeze your glutes at the top. Exhale.","1. Cầm tạ hai bên hông. Hít sâu, đẩy hông ra sau và chùng gối hạ tạ xuống dọc đùi.
2. Đạp mạnh hai chân xuống sàn, kéo tạ đứng thẳng lên.
3. Siết mông ở đỉnh. Thở ra. Đẩy hông ra sau để lặp lại."
exercises.name_dumbbell_fly,Dumbbell Fly,Ép ngực tạ đơn
exercises.desc_dumbbell_fly,"1. Lie on a bench, pressing dumbbells straight up. Keep a slight bend in your elbows.
2. Inhale and lower your arms out to the sides in a wide arc until you feel a deep stretch in your chest.
3. Exhale and hug the weights back to the top following the same arc.","1. Nằm trên ghế, hai tay cầm tạ đẩy thẳng lên ngực. Hơi gập nhẹ khuỷu tay.
2. Hít vào, mở rộng cánh tay sang hai bên theo quỹ đạo vòng cung cho đến khi ngực căng tối đa.
3. Thở ra, ép tạ về lại vị trí ban đầu theo đúng quỹ đạo vòng cung đó."
exercises.name_dumbbell_lateral_raise,Dumbbell Lateral Raise,Dang vai tạ đơn
